theta       Dist 
55.31       02563.50
56.33       02527.25
57.33       02501.75
58.33       02465.25
59.34       02444.25
60.34       02409.75
61.38       02391.50
62.38       02374.00
63.41       02345.75
64.64       02328.50
65.69       02308.25
66.69       02290.25
67.72       02274.00
68.72       02256.25
69.73       02231.75
70.78       02227.00
71.77       02210.75
72.83       02200.25
73.83       02185.25
74.86       02170.75
75.86       02164.75
76.88       02153.50
77.92       02150.00
78.94       02146.00
79.97       02132.25
80.98       02117.00
82.00       02112.50
83.02       02112.25
84.05       02107.75
85.02       02099.00
86.06       02096.75
87.09       02096.25
88.06       02097.50
88.84       02094.00
89.83       02093.25
90.83       02093.00
91.84       02093.25
92.84       02095.75
93.86       02094.25
94.86       02094.25
95.89       02097.50
96.89       02096.25
97.88       02099.75
98.89       02101.00
99.86       02109.25
100.92       02112.25
101.89       02131.00
102.88       02133.50
103.88       02137.75
104.91       02139.75
105.89       02168.75
106.88       02180.00
107.89       02185.50
108.92       02152.50
109.97       02045.00
111.00       01955.00
112.05       01864.50
113.11       01773.00
114.09       01704.75
115.14       01638.25
116.25       01565.75
117.22       01513.50
118.30       01458.25
119.34       01413.75
120.39       01366.75
121.42       01326.50
122.39       01284.75
123.42       01245.00
124.47       01212.75
125.55       01183.75
126.59       01154.25
127.56       01127.75
128.64       01100.00
129.64       01074.50
130.69       01049.75
131.81       01024.25
132.84       01006.00
133.77       00984.25
134.83       00967.75
135.94       00948.00
136.94       00931.25
138.08       00913.00
139.12       00898.75
140.06       00885.75
141.19       00870.50
142.19       00856.25
143.20       00844.00
144.16       00832.25
145.25       00820.50
146.27       00810.25
147.38       00800.25
148.33       00790.25
149.36       00783.50
150.34       00772.00
151.52       00764.00
152.52       00755.75
153.53       00747.25
154.52       00740.75
155.53       00733.25
156.58       00726.75
157.55       00721.00
158.61       00716.00
159.62       00711.00
160.67       00704.50
161.61       00701.00
162.66       00696.00
163.72       00692.50
164.69       00687.75
165.77       00684.75
166.67       00681.50
167.72       00676.50
168.77       00674.75
169.77       00672.00
170.78       00669.75
171.75       00667.50
172.86       00664.75
173.86       00663.75
174.81       00662.00
175.92       00660.75
176.89       00659.50
177.94       00660.00
178.86       00659.00
179.97       00658.50
180.84       00658.75
181.84       00657.75
182.94       00658.50
183.88       00659.25
184.97       00659.00
185.92       00660.50
186.69       00661.25
187.84       00662.50
188.69       00664.25
189.89       00665.25
190.73       00666.50
191.69       00669.50
192.78       00671.75
193.86       00673.25
194.78       00677.00
195.75       00680.75
196.80       00683.25
197.81       00686.25
198.69       00691.50
199.64       00694.00
200.75       00699.00
201.75       00704.00
202.72       00707.50
203.75       00712.50
204.64       00717.25
205.55       00723.75
206.69       00729.75
207.64       00737.50
208.53       00743.25
209.59       00751.50
210.61       00757.75
211.61       00766.00
212.58       00774.75
213.56       00784.25
214.42       00793.50
215.52       00803.00
216.44       00813.00
217.47       00822.25
218.44       00832.25
219.39       00842.50
220.33       00857.50
221.38       00870.00
222.23       00883.50
223.30       00895.00
224.20       00911.25
225.17       00926.00
226.20       00944.00
227.19       00959.50
228.19       00981.50
229.17       00997.50
230.08       01014.75
231.08       01035.75
232.06       01057.75
233.33       01081.50
234.38       01108.50
235.30       01131.75
236.36       01156.00
237.28       01184.50
238.27       01213.75
239.23       01249.50
240.23       01283.75
241.22       01321.75
242.19       01360.00
243.20       01402.50
244.19       01445.50
245.22       01495.25
246.17       01547.50
247.17       01606.00
248.16       01670.75
249.12       01734.25
250.11       01812.00
251.11       01887.25
252.06       01968.00
253.08       01956.75
254.12       01944.50
255.11       01961.25
256.14       01946.25
257.09       01932.75
258.11       01930.00
259.09       01914.25
260.12       01912.00
261.12       01909.00
262.12       01906.75
263.19       01903.75
264.16       01897.00
265.17       01887.00
266.20       01893.25
267.20       01891.75
268.23       01878.75
269.23       01879.00
270.27       01872.75
271.25       01872.00
272.27       01878.00
273.27       01873.25
274.28       01884.25
275.34       01886.00
276.30       01886.75
277.34       01894.75
278.36       01902.00
279.36       01904.00
280.36       01898.75
281.34       01908.50
283.30       00000.00
284.30       00000.00
285.31       00000.00
286.33       00000.00
287.33       00000.00
288.34       00000.00
289.36       00000.00
290.38       00000.00
291.38       00000.00
292.39       00000.00
293.41       00000.00
294.41       00000.00
295.42       00000.00
296.44       00000.00
297.45       00000.00
298.45       00000.00
299.47       00000.00
300.48       00000.00
301.50       00000.00
302.47       02183.00
302.50       00000.00
303.52       02199.50
304.64       02221.75
305.62       02256.50
306.67       02280.00
307.64       02309.50
308.69       02331.50
309.67       02374.75
310.70       02407.00
311.69       02440.75
312.72       02469.25
313.72       02510.50
314.75       02487.75
315.75       02479.75
316.81       02413.50
317.81       02441.75
318.83       02460.75
319.81       02485.75
320.80       02563.00
321.77       02920.25
322.78       02961.50
323.78       03018.50
324.81       03001.25
325.83       02952.00
