theta       Dist 
289.41       02296.50
290.30       02311.00
291.20       02324.75
292.14       02332.25
293.03       02345.75
293.91       02371.00
294.84       02378.75
295.77       02395.00
296.67       02422.25
297.55       02444.75
298.44       02458.25
299.34       02468.25
300.25       02500.25
301.17       02525.50
302.06       02543.75
302.98       02567.50
303.88       02589.50
304.67       02612.75
305.59       02636.00
306.50       02675.00
307.39       02699.50
308.28       02726.75
309.19       02787.25
310.08       02799.00
310.98       02845.75
311.88       02857.50
312.75       02922.50
313.69       02931.25
314.59       02878.00
315.52       02844.50
316.41       02814.00
317.39       02361.75
318.33       02330.75
319.25       02327.50
320.14       02330.25
321.05       02345.25
321.92       02531.75
322.83       02546.50
323.73       02509.50
324.64       02484.75
325.55       02448.00
326.45       02429.50
327.34       02398.00
328.28       02382.00
329.48       02360.00
330.42       02341.00
331.31       02325.25
332.25       02306.00
333.16       02289.75
334.09       02269.25
335.03       02247.75
335.91       02239.00
336.83       02215.00
337.80       02199.50
338.67       02194.50
339.61       02178.50
340.52       02166.50
341.45       02152.00
342.38       02147.75
343.30       02136.00
344.19       02116.50
345.12       02112.75
346.02       02109.00
346.94       02096.00
347.88       02095.25
348.81       02085.50
349.72       02083.00
350.64       02073.00
351.56       02064.25
352.45       02070.00
353.23       02058.75
354.12       02059.00
355.08       02057.50
356.00       02049.25
356.89       02048.50
357.78       02038.75
359.25       02035.00
0.52       02039.75
1.47       02037.75
2.39       02038.75
3.25       02047.00
4.19       02048.50
5.09       02056.25
6.00       02048.75
6.91       02057.50
7.83       02060.75
8.70       02063.50
9.64       02064.00
10.56       02074.50
11.44       02081.50
12.34       02085.25
13.27       02095.75
14.19       02098.00
15.11       02109.25
16.02       02113.00
16.72       02116.75
17.62       02144.50
18.55       02149.50
19.42       02152.75
20.33       02159.25
21.22       02182.00
22.11       02189.00
23.02       02202.00
23.92       02217.50
24.83       02229.25
25.70       02246.75
26.62       02272.00
27.50       02289.75
28.44       02297.75
29.30       02323.50
30.23       02332.25
31.11       02347.50
32.00       02377.25
32.92       02397.00
33.83       02426.25
34.72       02450.25
35.61       02472.00
36.50       02506.75
37.39       02543.75
38.28       02583.50
39.17       02606.00
40.08       02631.00
41.22       02610.25
42.11       02579.50
43.08       02544.25
43.94       02582.50
44.84       02565.00
45.78       02525.75
46.73       02484.75
47.62       02444.50
48.53       02408.00
49.48       02387.00
50.38       02343.25
51.30       02310.25
52.20       02288.00
53.14       02256.50
54.05       02229.75
55.02       02106.50
55.91       02075.25
56.84       02056.25
57.80       02032.75
58.67       02014.00
59.62       02003.75
60.52       01979.50
61.42       01957.75
62.33       01936.25
63.28       01923.00
64.19       01910.25
65.31       01905.00
66.28       01893.00
67.20       01870.50
68.09       01858.75
69.05       01845.00
69.95       01835.50
70.86       01825.75
71.81       01814.25
72.75       01811.00
73.64       01794.00
74.56       01793.00
75.48       01777.50
76.44       01773.50
77.38       01764.25
78.27       01757.00
79.17       01753.25
80.16       01744.25
81.03       01742.00
81.98       01736.25
82.88       01734.75
83.78       01732.75
84.70       01731.25
85.67       01724.25
86.59       01728.50
87.50       01718.25
88.42       01717.50
89.17       01717.00
90.06       01716.00
91.00       01715.25
91.92       01715.75
92.81       01716.75
93.73       01717.25
94.62       01717.50
95.58       01724.25
96.42       01725.50
97.36       01731.75
98.27       01726.75
99.20       01733.00
100.12       01736.50
101.02       01743.50
101.78       02187.00
102.75       02046.00
103.67       02021.50
104.59       01998.75
105.44       02121.25
106.33       02130.50
107.28       02072.50
108.22       02080.50
109.12       02106.25
110.06       02031.75
110.91       02130.50
111.84       02129.25
112.66       02198.75
113.62       02080.75
114.48       02157.50
115.42       02131.00
116.33       02226.00
117.25       02151.75
118.17       02134.00
119.06       02165.25
119.92       02215.50
120.86       02198.00
121.72       02355.75
122.64       02344.50
123.55       02363.00
124.45       02406.50
125.33       02428.75
126.25       02463.75
127.16       02504.50
128.06       02541.75
128.97       02541.75
129.91       02486.25
130.83       02431.75
131.70       02409.75
132.67       02360.75
133.55       02342.75
134.48       02409.00
135.39       02375.50
136.30       02339.75
137.45       02293.75
138.39       02272.25
139.31       02242.00
139.97       00000.00
141.23       01899.50
142.19       01899.00
143.06       01910.50
143.61       00000.00
144.88       02083.00
145.81       02063.50
146.72       02036.25
147.66       02013.50
148.56       01994.50
149.52       01974.00
150.47       01900.25
150.89       00000.00
152.30       01854.50
152.72       00000.00
153.62       00000.00
154.55       00000.00
156.00       01762.75
156.92       01762.75
157.84       01762.75
158.75       01762.75
159.09       00000.00
160.02       00000.00
161.28       01724.75
162.20       01715.50
163.47       01210.00
164.38       01205.25
165.28       01195.50
166.19       01190.00
167.11       01185.75
168.09       01183.25
168.98       01181.50
169.86       01179.50
170.83       01171.25
171.69       01171.00
172.66       01171.50
173.55       01165.25
174.47       01166.75
175.39       01167.00
176.23       01167.75
177.19       01165.50
178.09       01168.50
178.98       01166.00
179.86       01169.75
180.84       01174.50
181.73       01175.75
182.61       01181.75
183.56       01186.25
184.41       01187.50
185.38       01188.75
186.25       01190.00
187.12       01192.00
188.09       01197.25
188.97       01199.00
189.84       01202.00
190.78       01208.00
191.73       01217.25
192.59       01226.00
193.50       01236.75
194.33       01286.00
194.64       00000.00
195.56       00000.00
196.84       01697.25
197.72       01688.25
198.30       00000.00
199.55       01688.25
200.11       00000.00
201.03       00000.00
202.23       01744.00
203.14       01772.25
204.06       01762.75
204.97       01762.75
205.58       00000.00
206.50       00000.00
207.41       00000.00
208.31       00000.00
209.50       01925.50
210.41       01938.25
211.31       01968.50
212.17       01984.75
213.12       02009.00
214.03       02031.75
214.91       02046.50
215.81       02072.50
216.73       02095.00
217.62       02113.00
218.52       02145.25
219.44       02158.50
220.33       02188.00
221.25       02217.00
222.12       02247.00
223.06       02277.75
223.94       02312.25
224.84       02344.25
225.75       02377.50
226.66       02421.25
227.56       02448.50
228.48       02477.25
